run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,alpha,Tc,gap_0,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260409_182418_163081,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.2095,260.608,0.5375391434439847,1.5752843361405,25.027156899524794,0.8728183953365587,0.027430259758355252,13.45,1,1.0
20260409_182430_693336,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.104,257.4855,0.5392808655462329,1.5734167497587745,24.617541099660624,0.6808246606914139,0.05361830267872662,15.485,1,1.0
20260409_182443_314499,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.004,253.393,0.533061392940797,1.57158388023492,23.889915453123724,0.11692803464129042,0.03327881671486535,14.505,2,0.9975
20260409_182455_898990,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.083,256.495,0.5390196954667007,1.580392511570113,26.137542208788584,1.3016005057408329,0.020383065029754562,15.1,1,1.0
20260409_182508_546716,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.151,258.388,0.5409867523402838,1.5730505717615622,24.753234512778246,0.29757409206126795,0.036892579769623846,14.53,2,0.9825
20260409_182521_184100,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0935,256.851,0.5332580751322556,1.5799755560668538,26.14217489060263,1.3548643618854541,0.0225230851422346,14.86,1,1.0
20260409_182533_908593,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.919,251.0725,0.5365024839326962,1.5759534579358743,24.900247018196826,0.5195768977228887,0.027163998348810746,14.05,2,0.9975
20260409_182546_528935,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9935,253.771,0.5295562650201542,1.5730685784687881,24.692282168587575,0.2791936386486178,0.03298941524748319,14.435,2,0.9725
20260409_182559_570784,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.073,255.576,0.5337676696531245,1.576473894250859,25.343399286719443,0.5808703597603717,0.031181400147473746,14.855,2,0.9625
20260409_182613_477068,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0715,257.191,0.5305425717136151,1.5824250388424,26.662417757632888,1.835713830188677,0.02983948578791401,15.605,1,1.0
20260409_182628_486367,SD,3999,1.0,1e-10,False,1.61,6.01,15,15.074268567141786,257.4033508377094,0.5457291321564155,1.580662543217744,26.62878909107568,0.6482140792953572,0.019102069843203756,12.22,1,1.0
20260409_182642_705516,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.074,255.5945,0.5376203281717978,1.5686489103499197,23.917920758826224,0.3789436868968501,0.07017578810750306,13.825,1,1.0
20260409_182655_558536,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.1535,259.094,0.5338785056891984,1.5765883981343087,25.6904806939521,0.2380793688892915,0.02795157020495164,14.055,2,0.9125
20260409_182708_220089,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.037,254.581,0.5340847817664541,1.5691068327729027,23.41736900711931,0.3629776065858934,0.13091696768544145,13.155,1,1.0
20260409_182720_902840,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9385,250.8285,0.5246721410724449,1.5657940605998024,22.920939208317005,0.35299077822123337,0.11695307861988322,12.525,1,1.0
20260409_182733_591899,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.924,251.2085,0.5336389495642498,1.5646323977539474,23.08319955391216,0.30273600790494015,0.14266816482392441,12.81,1,1.0
20260409_182747_523847,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0925,258.4215,0.5372493004631704,1.5838888328609992,27.632232939590683,1.688681085431483,0.011593693462098292,13.235,1,1.0
20260409_182800_890805,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.09,257.7685,0.5410656739282009,1.584973644912384,28.400537190343424,0.759781085148127,0.013461916301659667,13.335,1,1.0
20260409_182814_510716,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.1055,256.168,0.5327338484321229,1.5746994786615005,24.89910816397599,0.32561092080838705,0.04975960571039697,14.135,1,1.0
20260409_182827_780496,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.117,257.858,0.5373761210972381,1.5671104298497123,23.716702747842827,0.15624265083344824,0.07671923610205246,14.745,1,1.0
20260409_182841_231318,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9205,250.106,0.5369364125402752,1.5736507448405253,24.15870289765126,0.820698810665121,0.032843019146109535,14.2,1,1.0
20260409_182854_800955,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0655,255.8455,0.5448655190184476,1.57559047537825,24.78833807690382,0.8097847332209547,0.018693967638577617,13.635,1,1.0
20260409_182908_282047,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.1075,256.3705,0.5335407088243044,1.5783958283799109,25.518781989332243,0.8669664295530382,0.018027348769745176,13.455,1,1.0
20260409_182922_385431,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.077,254.761,0.5432281147600099,1.5714652121150592,24.20770775860638,0.29989564686082204,0.0255282721190716,12.905,3,0.9525
20260409_182936_391757,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.037,256.411,0.5314787675689999,1.5737231572285042,24.79796166197594,0.12181486478203851,0.030316360539221304,14.065,2,0.995
20260409_182949_564907,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0325,254.3695,0.5424005833703318,1.5794881266900656,25.98328159975797,0.8416399039375548,0.014610944547622939,13.72,1,1.0
20260409_183002_825467,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.177,259.4,0.5399494633134011,1.565569480564987,23.312496897483587,0.21774393929956304,0.07243955108265987,12.4,1,1.0
20260409_183016_410002,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.2325,263.0595,0.5382455912883564,1.580941034104073,27.307579949328492,1.0470996374821802,0.025933551719353045,14.57,1,1.0
20260409_183030_409729,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0135,253.3465,0.538984673077666,1.5825495798871128,26.604945198002206,2.0768955497896826,0.01202717897144511,12.86,1,1.0
20260409_183043_689532,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.27,264.4205,0.5275211068641049,1.582985552607134,27.648978663445252,1.1053281979330478,0.016892297339923833,13.825,1,1.0
20260409_183057_002837,SD,4000,1.0,1e-10,False,1.61,6.01,15,14.9885,252.648,0.5337045363281455,1.564731345926745,23.050229215219964,0.23329908493362694,0.039453023090406235,12.655,1,1.0
20260409_183110_761928,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0515,254.34,0.5350945679026523,1.5692993031485585,23.264568324872762,0.11322490861729051,0.057495342050626855,13.92,1,1.0
20260409_183123_577116,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.0635,256.0485,0.536139765265111,1.5782344411697142,25.99766853791328,0.28075816392564334,0.03474880489963604,14.945,1,1.0
20260409_183136_236198,SD,4000,1.0,1e-10,False,1.61,6.01,15,15.029,254.1385,0.5330265896428665,1.5771224084638824,25.126421439035866,0.9746761336169243,0.011398629146560323,13.57,1,1.0
