run_id,degree,sum_prob,deg_count
20260427_202748_713808,9,0.012058692748611282,269
20260427_202748_713808,18,0.00925845522388264,63
20260427_202748_713808,37,0.00828562603809925,19
20260427_202748_713808,57,0.0028705108316045306,3
20260427_202748_713808,78,0.004691579085560509,3
20260427_202748_713808,8,0.011291766254266518,316
20260427_202748_713808,106,0.00477313474690322,2
20260427_202748_713808,12,0.009324482105302503,142
20260427_202748_713808,98,0.009139390399966368,4
20260427_202748_713808,16,0.00755031799069032,62
20260427_202748_713808,17,0.008939711607650272,72
20260427_202748_713808,155,0.0037184951599131943,1
20260427_202748_713808,15,0.00858303916358987,82
20260427_202748_713808,953,0.07598830189255106,1
20260427_202748_713808,27,0.005156405401678812,20
20260427_202748_713808,1063,0.07115233822740592,1
20260427_202748_713808,128,0.0032252837652579198,1
20260427_202748_713808,158,0.003639993671657009,1
20260427_202748_713808,199,0.016460485456276194,3
20260427_202748_713808,33,0.005875372528082924,14
20260427_202748_713808,11,0.009971423057586496,173
20260427_202748_713808,72,0.003598057925245668,3
20260427_202748_713808,38,0.003623360808567986,8
20260427_202748_713808,7,0.010178318101898301,374
20260427_202748_713808,71,0.00264014039697501,2
20260427_202748_713808,264,0.010846920284888293,1
20260427_202748_713808,19,0.006519969127646925,45
20260427_202748_713808,29,0.007587629208990448,23
20260427_202748_713808,30,0.005393856389386638,16
20260427_202748_713808,85,0.0020266927472848426,1
20260427_202748_713808,6,0.008773817544431376,405
20260427_202748_713808,31,0.005924011248896975,18
20260427_202748_713808,223,0.006611553674151417,1
20260427_202748_713808,217,0.007671458233812364,1
20260427_202748_713808,70,0.0031753302222393746,3
20260427_202748_713808,104,0.0034042582752636147,1
20260427_202748_713808,25,0.00482628362947132,23
20260427_202748_713808,10,0.009900744074737703,193
20260427_202748_713808,597,0.04044087821754412,1
20260427_202748_713808,121,0.0026882120565279023,1
20260427_202748_713808,3,0.001184295570166621,164
20260427_202748_713808,69,0.004818936703085586,4
20260427_202748_713808,26,0.0049851458638758075,20
20260427_202748_713808,54,0.004656283614418921,5
20260427_202748_713808,137,0.008400783461757318,2
20260427_202748_713808,465,0.027525896888997706,1
20260427_202748_713808,114,0.0033994275434744434,2
20260427_202748_713808,22,0.00784339279875751,38
20260427_202748_713808,46,0.0035147514521785676,5
20260427_202748_713808,28,0.010485134900939726,30
20260427_202748_713808,42,0.00559831509638111,9
20260427_202748_713808,183,0.01097657094688206,2
20260427_202748_713808,14,0.010080986707018706,107
20260427_202748_713808,34,0.005980485810324026,15
20260427_202748_713808,23,0.007109564005564392,37
20260427_202748_713808,36,0.0026244013445060146,6
20260427_202748_713808,13,0.009686635443208098,109
20260427_202748_713808,55,0.0032545814777591984,4
20260427_202748_713808,81,0.013111712724730995,7
20260427_202748_713808,109,0.003990179224319814,1
20260427_202748_713808,111,0.006037563870112533,2
20260427_202748_713808,410,0.021871630219593055,1
20260427_202748_713808,4,0.0031617028933707686,273
20260427_202748_713808,63,0.00221564707418631,2
20260427_202748_713808,5,0.005017294322849861,331
20260427_202748_713808,191,0.011434186738591538,2
20260427_202748_713808,52,0.002182095603682394,4
20260427_202748_713808,288,0.011555256544938384,1
20260427_202748_713808,162,0.005483644641214593,1
20260427_202748_713808,110,0.00558165398576106,2
20260427_202748_713808,97,0.006033391592446376,3
20260427_202748_713808,24,0.006411227044395773,30
20260427_202748_713808,20,0.009574971321860725,54
20260427_202748_713808,138,0.0028433667691441316,1
20260427_202748_713808,133,0.0029091701543132098,1
20260427_202748_713808,66,0.0035497866158940416,3
20260427_202748_713808,50,0.005147071436127854,6
20260427_202748_713808,67,0.0006947647273100916,1
20260427_202748_713808,47,0.004838482325634451,9
20260427_202748_713808,48,0.003162400231089739,6
20260427_202748_713808,100,0.006139723585507063,2
20260427_202748_713808,88,0.0013182377279932645,1
20260427_202748_713808,154,0.0030244239214196876,1
20260427_202748_713808,347,0.017219365104208982,1
20260427_202748_713808,280,0.008177494849431706,1
20260427_202748_713808,39,0.003904416378365599,9
20260427_202748_713808,80,0.002215488278504217,2
20260427_202748_713808,21,0.005106015850610472,28
20260427_202748_713808,79,0.0026359261365005264,2
20260427_202748_713808,164,0.005678257146733246,1
20260427_202748_713808,40,0.0032961804670533987,8
20260427_202748_713808,93,0.0013846389547419007,1
20260427_202748_713808,279,0.009153273113561147,1
20260427_202748_713808,302,0.010716248299712667,1
20260427_202748_713808,51,0.0022035086087575217,4
20260427_202748_713808,32,0.0041960790200951,14
20260427_202748_713808,231,0.011590316391359054,1
20260427_202748_713808,157,0.003576351716745859,1
20260427_202748_713808,163,0.01214215117411897,2
20260427_202748_713808,173,0.0034892663826916787,1
20260427_202748_713808,35,0.005416087292868171,10
20260427_202748_713808,68,0.003546686957750789,2
20260427_202748_713808,76,0.0013783460243059953,1
20260427_202748_713808,113,0.006910361026390006,2
20260427_202748_713808,75,0.005005861407270453,3
20260427_202748_713808,107,0.004470790513656639,2
20260427_202748_713808,2,0.0003911396722815047,92
20260427_202748_713808,41,0.00457434957898591,9
20260427_202748_713808,45,0.0028802462699891876,5
20260427_202748_713808,148,0.006165869662762574,1
20260427_202748_713808,58,0.00150245252384524,2
20260427_202748_713808,83,0.0010832271413883127,1
20260427_202748_713808,95,0.002180277755217684,1
20260427_202748_713808,44,0.0025868302175417884,6
20260427_202748_713808,156,0.003132344806803207,1
20260427_202748_713808,200,0.0060818345800758775,1
20260427_202748_713808,87,0.004160025767134589,2
20260427_202748_713808,56,0.006475908594931485,7
20260427_202748_713808,86,0.002648880645808022,1
20260427_202748_713808,140,0.009257943786517338,3
20260427_202748_713808,167,0.006967185118971925,1
20260427_202748_713808,206,0.007363116973040242,1
20260427_202748_713808,185,0.006806456893752527,1
20260427_202748_713808,43,0.003695112314961908,6
20260427_202748_713808,59,0.002900240429540934,3
20260427_202748_713808,62,0.0034101228095250987,3
20260427_202748_713808,73,0.005038151684868291,4
20260427_202748_713808,195,0.004462911987042967,1
20260427_202748_713808,74,0.001497693984433185,1
20260427_202748_713808,116,0.0018148856970359494,1
20260427_202748_713808,77,0.0017958113773753205,2
20260427_202748_713808,142,0.0031150509893675513,1
20260427_202748_713808,101,0.0021115173116016497,1
20260427_202748_713808,84,0.0016016708612395768,1
20260427_202748_713808,255,0.008206774287193856,1
20260427_202748_713808,285,0.011098537124763275,1
20260427_202748_713808,61,0.0007738242599805495,1
20260427_202748_713808,102,0.0030174565784689255,1
20260427_202748_713808,123,0.0016616641226159991,1
20260427_202748_713808,64,0.002742205658179879,2
20260427_202748_713808,182,0.004133351530461349,1
20260427_202748_713808,53,0.0019893219812530797,2
20260427_202748_713808,129,0.0023605613378417864,1
20260427_202748_713808,60,0.0009615214895951829,1
20260427_202748_713808,103,0.0035435296519789167,1
20260427_202748_713808,1,4.441845486314362e-05,40
20260427_202748_713808,115,0.0013471075237597144,1
20260427_202748_713808,49,0.000572088564728312,1
20260427_202748_713808,89,0.0012317944525606424,1
20260427_202803_095325,4,0.003170075574472263,285
20260427_202803_095325,6,0.008693776329067242,382
20260427_202803_095325,21,0.006354165811255492,38
20260427_202803_095325,10,0.0104479013448026,207
20260427_202803_095325,14,0.00865566952458941,106
20260427_202803_095325,16,0.007366998027571309,70
20260427_202803_095325,95,0.003915602170244091,2
20260427_202803_095325,20,0.006811085835919458,36
20260427_202803_095325,17,0.00821259916036639,71
20260427_202803_095325,40,0.0060629449006704495,12
20260427_202803_095325,937,0.062235279779342616,1
20260427_202803_095325,1059,0.08193511150525026,1
20260427_202803_095325,25,0.006961769913630348,25
20260427_202803_095325,30,0.0035900773346362607,12
20260427_202803_095325,24,0.008046626348333929,34
20260427_202803_095325,3,0.0016067902685243409,209
20260427_202803_095325,13,0.008561498668788728,107
20260427_202803_095325,171,0.004424713273547927,1
20260427_202803_095325,9,0.011049887053747955,262
20260427_202803_095325,56,0.006900195173342266,6
20260427_202803_095325,55,0.003568899270729288,4
20260427_202803_095325,37,0.004968424987537891,10
20260427_202803_095325,11,0.008722769961315546,154
20260427_202803_095325,49,0.006667495177285911,9
20260427_202803_095325,47,0.0034381500383194393,5
20260427_202803_095325,75,0.0016181223800985519,1
20260427_202803_095325,223,0.006862237106949236,1
20260427_202803_095325,7,0.009407694837650048,329
20260427_202803_095325,12,0.00925522156593776,144
20260427_202803_095325,26,0.006967935832869176,27
20260427_202803_095325,18,0.008536241859283884,65
20260427_202803_095325,5,0.006033537291350165,335
20260427_202803_095325,181,0.005698260681358485,1
20260427_202803_095325,271,0.011097021813910314,1
20260427_202803_095325,92,0.0012731459759958914,1
20260427_202803_095325,8,0.011438113302988313,322
20260427_202803_095325,135,0.0036159806580027373,1
20260427_202803_095325,163,0.00575438343350752,1
20260427_202803_095325,58,0.0013638893954943832,2
20260427_202803_095325,23,0.007408620639399358,33
20260427_202803_095325,495,0.030688536039096218,1
