run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,HypR,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,dif_radius,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260429_102155_641893,SD,3991,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.789025306940616,1488.9075419694311,0.5376220375248081,0.9968896602485837,1.6037867207577234,92.93255818253031,6941.2602988745,0.01757760556426402,0.7023415799749121,0.014254715613171121,31.162907268170425,1,1.0
20260429_102226_126480,SD,3998,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.996998499249624,1516.8909454727363,0.5253370248635613,0.626633033653576,1.6037840317682224,93.48222412364218,6996.832888858264,0.01630056523878696,0.7410413173143184,0.015344563753905702,31.525,1,1.0
20260429_102255_837759,SD,3997,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.825869402051538,1525.2194145609208,0.5402226892504415,0.758739486386177,1.6038053148544078,93.74904413057268,7332.97911791669,0.016936172502353918,0.7554229691441972,0.014772383824962513,31.755,1,1.0
20260429_102322_021340,SD,3992,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.882765531062125,1503.1112224448898,0.5291858977484374,0.8751275817369646,1.603855088783153,95.11856364510362,7980.72306876774,0.017325473127598492,0.7204390038002562,0.014458537447094254,31.36,1,1.0
20260429_102347_353707,SD,3996,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.80930930930931,1509.632132132132,0.5275408229865908,0.7816125866158993,1.6037998369517068,93.40445487771092,6852.9334215723,0.017724103268688545,0.728328682023742,0.014119205155633635,31.195,1,1.0
20260429_102415_686589,SD,3998,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.800900450225113,1492.0785392696348,0.5370925784768597,0.8219257657969438,1.6037986366570218,93.53053696549262,7050.753452074793,0.016678467789499843,0.7318221444085283,0.014996884946993468,31.23,1,1.0
20260429_102444_702822,SD,3995,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.912390488110137,1512.0670838548185,0.5268355741432614,0.8419528547439924,1.6038449636252514,94.95445611918223,7695.20492939068,0.01832715941269057,0.6959432719004232,0.013658029893086662,31.62,1,1.0
20260429_102521_464673,SD,3988,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.843029087261785,1470.0912738214645,0.5272642724248943,0.7942423859998123,1.6037664236713967,92.2334104809843,7141.327786940919,0.01749190435881859,0.7417136229574304,0.01433533202712108,31.333333333333332,1,1.0
20260429_102549_542347,SD,3989,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.807971922787667,1485.5251942842817,0.5320875842060176,0.7764241857697106,1.603783119832154,92.75862019905874,7261.709848521904,0.016437354176983367,0.7386212879723993,0.01525120120545844,31.263157894736842,1,1.0
20260429_102617_431468,SD,3991,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.819092959158105,1468.12027060887,0.529345384547512,0.8748920069326425,1.6038392533830086,94.88130695964503,6674.8614690319655,0.01573144999245197,0.7169382276747146,0.015927569842531977,32.94235588972431,1,1.0
20260429_102645_894646,SD,3995,1.0,1e-10,False,1.21,2.21,15,18.25911511618938,15.922903629536922,1526.9797246558198,0.5286783455081325,0.7369523979813509,1.6038240513633086,94.2879754976895,7920.309697313155,0.017259801527323523,0.7396829950236022,0.014502651766744179,31.65,1,1.0
