run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,first_moment,second_moment,r_mean,alpha,Tc,gap_0,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260408_192105_565475,SD,3995,1.0,1e-10,False,1.01,2.01,15,17.5639549436796,2296.9221526908636,0.5331841464960251,1.604162568336496,113.47805684539642,44.40837072684426,0.0161316121900641,39.995,1,1.0
20260408_192119_176655,SD,3993,1.0,1e-10,False,1.01,2.01,15,17.6664162283997,2307.4385174054596,0.5392179860997174,1.6041492554518932,113.23456582820356,41.1301243325995,0.017364075834511727,39.855,1,1.0
20260408_192137_992243,SD,3991,1.0,1e-10,False,1.01,2.01,15,17.5605111500877,2315.0002505637685,0.5229838092870307,1.6041580382511467,113.21957438532993,44.06523383638769,0.01755663019042434,39.7593984962406,1,1.0
20260408_192151_458259,SD,3986,1.0,1e-10,False,1.21,2.01,15,17.308078273958856,2890.190667335675,0.5305318191752619,1.6043617734593396,127.07741273010092,49.624636125315156,0.01765252931476897,44.69172932330827,1,1.0
20260408_192205_001493,SD,3982,1.0,1e-10,False,1.21,2.01,15,17.316423907584127,2843.128076343546,0.5283092908629987,1.6043508681181533,126.4062115406755,46.19160769477032,0.018622511287820054,45.3734335839599,1,1.0
20260408_192218_293357,SD,3980,1.0,1e-10,False,1.21,2.01,15,17.092964824120603,2806.3527638190953,0.5358866634729812,1.6043643361992677,126.44021584279807,45.91617664433093,0.017771935930369513,44.552763819095475,1,1.0
20260408_192231_235486,SD,3976,1.0,1e-10,False,1.41,2.01,15,16.970321931589538,3247.450704225352,0.531778771188898,1.6044528412211474,134.64657463052484,48.624084454107766,0.01791622043651763,48.45728643216081,1,1.0
20260408_192244_059993,SD,3977,1.0,1e-10,False,1.41,2.01,15,17.003771687201407,3307.433241136535,0.5324599023933582,1.6044742760186728,136.6469619685848,53.32962384413462,0.017880722211672466,48.82914572864322,1,1.0
20260408_192256_909863,SD,3979,1.0,1e-10,False,1.41,2.01,15,17.207338527268156,3328.4091480271427,0.5257735274683838,1.604452464961559,135.68633599987774,51.16956309638927,0.017608665982635992,48.4321608040201,1,1.0
20260408_192309_853378,SD,3976,1.0,1e-10,False,1.6099999999999999,2.01,15,17.01307847082495,3648.4185110663984,0.5234020643474636,1.6045190677264236,142.1740660337149,54.68303009364757,0.0187315584909215,50.753768844221106,1,1.0
20260408_192323_022755,SD,3971,1.0,1e-10,False,1.6099999999999999,2.01,15,16.977587509443467,3568.5419289851425,0.5313253870535223,1.604526724657692,142.48031774540414,54.91441465437619,0.018578691431967876,50.6095717884131,1,1.0
20260408_192336_182500,SD,3982,1.0,1e-10,False,1.6099999999999999,2.01,15,16.963837267704672,3641.7599196383726,0.537152060662666,1.604514080596213,141.87100466919873,53.462627399903646,0.018793179589137284,50.721804511278194,1,1.0
20260408_192349_007943,SD,3958,1.0,1e-10,False,1.8099999999999998,2.01,15,17.078827690752906,3909.9156139464376,0.5325156490387813,1.6045690627489537,147.48216983044057,56.91812319978884,0.017803709897674824,52.44444444444444,1,1.0
20260408_192404_225104,SD,3963,1.0,1e-10,False,1.8099999999999998,2.01,15,16.99318697956094,3902.342165026495,0.5330113339679444,1.6045660073732135,147.1396980431768,55.294656639890256,0.017450375742438205,52.2015113350126,1,1.0
20260408_192417_754447,SD,3964,1.0,1e-10,False,1.8099999999999998,2.01,15,16.889001009081735,3814.2013118062564,0.5359239736143316,1.6045586319827692,145.95286260690358,54.15762587696072,0.018336401477964864,52.0,1,1.0
20260408_192431_218430,SD,3976,1.0,1e-10,False,2.01,2.01,15,16.6317907444668,4022.164989939638,0.5321043576147804,1.6045853272801083,149.25771667509062,56.27809425129563,0.01808513887546724,52.12562814070352,1,1.0
20260408_192444_180712,SD,3963,1.0,1e-10,False,2.01,2.01,15,17.100681302043906,4080.6545546303305,0.5194697913398488,1.6045884202024514,151.17039069670327,56.831412895450015,0.0204474093964816,54.297229219143574,1,1.0
