name,N,J,noise,periodic,beta,gamma,mean_degree,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,1999,1.0,1e-10,False,1.01,6.01,10,0.530290322105934,1.5777164611126717,15.692999367381011,0.3301183234298838,5.81,3,0.99
SD,2000,1.0,1e-10,False,1.01,6.01,10,0.5241051353925421,1.5778671463235914,15.680669498718391,0.359530479487465,5.69,1,1.0
SD,2000,1.0,1e-10,False,1.01,6.01,10,0.5478260853370173,1.5772177723532386,15.458297362125242,0.3604797706364446,5.89,1,1.0
SD,2000,1.0,1e-10,False,1.01,6.01,10,0.5482106562436113,1.5762169441253109,15.183485665145719,0.41506811639293706,5.35,1,1.0
SD,2000,1.0,1e-10,False,1.21,6.01,10,0.5257538719252062,1.5782743125403536,16.850848920116256,0.04177880400360551,8.58,1,1.0
SD,2000,1.0,1e-10,False,1.21,6.01,10,0.5420762444789198,1.578907653890919,17.350615026904734,0.09309544502634767,9.05,1,1.0
SD,2000,1.0,1e-10,False,1.21,6.01,10,0.552670869726103,1.5737130693598167,15.989376304155854,0.27726905439379906,6.81,1,1.0
SD,2000,1.0,1e-10,False,1.21,6.01,10,0.5190803733997393,1.572502107768461,15.740257434625178,0.3574375080158499,6.11,3,0.99
SD,1998,1.0,1e-10,False,1.41,6.01,10,0.5202436082355764,1.5632650517905204,15.582025713321965,0.08426917380989675,7.46,3,0.99
SD,2000,1.0,1e-10,False,1.41,6.01,10,0.5305770626765007,1.5692348852854674,15.9794051200865,0.20235871052182736,7.71,2,0.995
SD,2000,1.0,1e-10,False,1.41,6.01,10,0.5407868011182666,1.56708361507962,15.851400994881416,0.04222412253736031,7.4,1,1.0
SD,2000,1.0,1e-10,False,1.41,6.01,10,0.5459796751170009,1.5733822118731398,16.900224639814265,0.03474597984160311,9.59,1,1.0
SD,2000,1.0,1e-10,False,1.6099999999999999,6.01,10,0.5358120237265226,1.5807628475474942,19.36688071930035,0.015030628810629132,8.76,1,1.0
SD,2000,1.0,1e-10,False,1.6099999999999999,6.01,10,0.5412218338542362,1.5628938990357506,16.55709397207257,0.021625481713682167,9.75,2,0.995
SD,1999,1.0,1e-10,False,1.6099999999999999,6.01,10,0.5258629800105524,1.5843348833794,20.385566196674112,0.031792261421415585,10.65,1,1.0
SD,2000,1.0,1e-10,False,1.6099999999999999,6.01,10,0.536041623717333,1.5650199599332342,17.049148699415287,0.030719733086137364,10.41,1,1.0
SD,2000,1.0,1e-10,False,1.8099999999999998,6.01,10,0.5335189931769305,1.5748630325922186,18.513820366029673,0.022371039973463566,10.63,1,1.0
SD,1999,1.0,1e-10,False,1.8099999999999998,6.01,10,0.5324844681389669,1.5873213628970189,21.780041712371446,0.015963167722973837,9.82,1,1.0
SD,2000,1.0,1e-10,False,1.8099999999999998,6.01,10,0.5436749068537835,1.5764269952653291,15.34761150820404,0.018784000659195627,9.76,1,1.0
SD,1998,1.0,1e-10,False,1.8099999999999998,6.01,10,0.5367500797112541,1.5712145783213558,17.882286526449516,0.017120722576829853,9.02,1,1.0
SD,2000,1.0,1e-10,False,2.01,6.01,10,0.5220935960797074,1.5839812121811776,21.059564055877935,0.012073548965876838,9.32,1,1.0
SD,2000,1.0,1e-10,False,2.01,6.01,10,0.5400553784612218,1.5718040907538449,18.65330815459832,0.029863334346564466,10.26,1,1.0
SD,2000,1.0,1e-10,False,2.01,6.01,10,0.5349360951281114,1.564291935919301,17.334925827734452,0.024015255239730294,9.99,1,1.0
