run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,HypR,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,dif_radius,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260502_151334_337039,SD,498,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,17.132530120481928,1241.9317269076305,0.5040061524152173,0.14916691534325363,1.6187241232316845,75.7621945033524,1078.9796596447925,0.017555670290683178,0.5346210175326946,0.11438082939958846,35.92,1,1.0
20260502_151335_076178,SD,500,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,16.892,1192.712,0.4963203473239786,0.002467963055387889,1.6185683855014223,73.98882054906977,1042.6235208877608,0.01789313504876951,0.5550821724469672,0.11177471105811262,35.24,1,1.0
20260502_151335_840121,SD,500,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,16.8,1205.316,0.4861168764977519,0.021579200536804795,1.6185848912055167,74.0266562270765,1066.7420093961157,0.017884239098901925,0.5459262298597742,0.11183030985773379,35.24,1,1.0
20260502_151336_573654,SD,500,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,16.624,1175.936,0.5057299212154255,0.26167667166989345,1.6186023721709684,73.86520057555921,1038.1237345607658,0.018458581906430103,0.5262932657301488,0.10835068534182975,35.6,1,1.0
20260502_151337_308916,SD,499,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,16.973947895791582,1216.753507014028,0.5251370503242019,0.32729486579051775,1.6186027280467257,74.4058768368155,1014.4046181071838,0.017762180698055605,0.5570758191920175,0.11282443581105102,34.8,1,1.0
20260502_151338_046370,SD,498,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,17.26104417670683,1252.0923694779117,0.5081018774516385,0.02791206761254685,1.6186582549330362,75.12034844672718,1073.6958815358992,0.017760670321418374,0.522569281616743,0.11306060481807839,35.56,1,1.0
20260502_151338_795409,SD,499,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,17.182364729458918,1225.058116232465,0.511100417558017,0.059762774372903636,1.618619136647133,74.94314578980264,1082.015873175901,0.018081408453923125,0.5189911369450626,0.11083251734171484,35.4,1,1.0
20260502_151339_551150,SD,499,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,16.92184368737475,1202.4048096192384,0.5270892178063414,0.040167163494711854,1.618613373135398,74.34173347081246,1016.3824740697047,0.017859656301302335,0.532174073995161,0.11220865520720748,35.64,1,1.0
20260502_151340_280836,SD,498,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,16.690763052208837,1149.1566265060242,0.5083541565185916,-0.0801311000578062,1.618664934690939,74.27893586951879,1064.95834039912,0.017572899169871616,0.5780739071685885,0.11426868777331785,35.96,1,1.0
20260502_151341_011966,SD,498,1.0,1e-10,False,10.01,2.01,15,12.679410362957498,16.843373493975903,1193.1887550200804,0.4972055634327656,0.2503663366698737,1.6187927908761262,76.03638671374003,1122.090869426331,0.017854370360064323,0.5458650683807352,0.11246726084530612,35.4,1,1.0
20260502_151341_583466,SD,499,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.324649298597194,677.2705410821643,0.5420477410135959,0.32691268270947993,1.6156995202354931,54.01620139651214,407.0393433953639,0.018654666666009637,0.698220338185894,0.10742663226910049,23.16,1,1.0
20260502_151342_163832,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.012,667.504,0.5094584121396792,0.5094739600698924,1.6163417617753513,55.41461395548007,527.7339133105442,0.021262909823163794,0.5598222667660819,0.0940605033193153,24.56,1,1.0
20260502_151342_743712,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.216,666.736,0.5206860536242527,0.28484096213064297,1.6157195043439185,54.570943607915154,434.2605899150676,0.018245710088464557,0.6610798396409395,0.10961480755218485,24.92,1,1.0
20260502_151343_310800,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.112,656.604,0.5222694533430786,0.3569339025130697,1.615512344553136,52.74460094954895,456.01776939377424,0.019178744076072063,0.6782277757347206,0.10428211524524465,23.0,1,1.0
20260502_151343_874762,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.072,661.744,0.5200908489206824,0.3940055509088842,1.616291312073487,55.79993283455677,484.1964218459305,0.019265357792429123,0.6078638979630874,0.10381328089250216,26.28,1,1.0
20260502_151344_444155,SD,499,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.03206412825651,668.1603206412825,0.5249355106872045,0.35501100483754755,1.6167397587655574,57.228984995736944,542.1340186926001,0.02114784996926405,0.5737182047106514,0.09476178519067695,25.16,1,1.0
20260502_151345_042525,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.208,658.08,0.49882168136738037,0.1596755054549398,1.6160557636099389,54.66457453003871,501.8399834941548,0.02037022120733311,0.6296548755934142,0.09818253712826726,24.24,1,1.0
20260502_151345_605813,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.244,687.512,0.5127276428188157,0.26421102240463445,1.6164078198576926,56.48015654382214,557.3700704374063,0.021886725259155946,0.5566454583634186,0.09137959088527113,23.88,1,1.0
20260502_151346_170275,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,16.104,656.08,0.5140167729741923,0.6088903442234002,1.61554430116825,52.53662829309944,435.324261183176,0.018965497443517394,0.7001748160154809,0.10545465553731737,22.88,1,1.0
20260502_151346_734317,SD,500,1.0,1e-10,False,10.01,2.51,15,9.91542470364647,15.868,637.056,0.5320124256937888,0.4294972763690252,1.615776028049468,53.249279626302766,427.00215177934206,0.01926380142315601,0.6684637031150045,0.10382166821943588,23.56,1,1.0
20260502_151346_930906,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.564,418.252,0.5085300024281034,0.31346252226330573,1.608071105310466,39.06866936788663,152.0776302165239,0.018823561402208717,0.744943147760675,0.10624981942924595,17.48,1,1.0
20260502_151347_139543,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.592,434.24,0.5204905446777155,0.7341663660176619,1.613372922028515,45.299662976888676,334.50978655089955,0.02310486399028464,0.620531260953288,0.08656185991144462,19.64,1,1.0
20260502_151347_349169,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.672,422.928,0.5262858775695973,0.6280662439186555,1.6065195234697907,38.44008151112092,110.27488657843902,0.016040661694994195,0.7760084233023938,0.12468313577264331,16.96,1,1.0
20260502_151347_541431,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.66,437.588,0.4700080507831349,0.36463876301830195,1.6108903207473682,42.42831000889701,181.47577083582976,0.020127549143957642,0.7685830998061335,0.09936629570224681,18.04,1,1.0
20260502_151347_732487,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.784,429.16,0.5139610511765049,0.37266012802230214,1.6089159221974378,41.174495900924775,162.0180282884634,0.020372929611877023,0.7353760716435168,0.09816948461030557,17.56,1,1.0
20260502_151347_925394,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.616,434.672,0.5098740100262454,0.3840616487403243,1.609861634712565,41.58041553811292,138.8485209994515,0.016936513770634553,0.8076779436324324,0.11808805679169397,18.68,1,1.0
20260502_151348_131229,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.484,414.72,0.49655265318389913,0.17414003764436534,1.6069958859248488,37.71014712488876,119.74299975802244,0.019292228120178365,0.7286609367983916,0.10366868914991396,15.08,1,1.0
20260502_151348_348248,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.5,423.212,0.5058153680894761,0.5550886510952185,1.6108246596337854,41.903295551717854,199.27163341306812,0.023173281727378457,0.6508711356740855,0.08630629116449513,18.8,1,1.0
20260502_151348_542696,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.624,425.596,0.49647004877201134,0.33453757689939356,1.6061450127725097,37.91377803509021,106.39648218290908,0.014572365049185229,0.881276998849873,0.13724608141846023,14.68,1,1.0
20260502_151348_734840,SD,500,1.0,1e-10,False,10.01,3.01,15,8.723500524226582,15.388,428.788,0.497687513234001,0.42059766241747476,1.6120944572363745,43.46312425680762,255.71517674582245,0.020130206558416477,0.6615842584685819,0.09935317822974828,20.32,1,1.0
20260502_151348_926843,SD,500,1.0,1e-10,False,10.01,3.51,15,8.087299818442354,14.988,312.672,0.5231145596499763,0.5704263411862366,1.5932698684316755,28.67681922610429,30.424052752702842,0.012702942041686802,0.9558847709948399,0.15744384201995645,12.6,1,1.0
20260502_151349_121902,SD,500,1.0,1e-10,False,10.01,3.51,15,8.087299818442354,15.464,327.404,0.5144375731451795,0.606915396577177,1.599826399592854,32.19618361462511,110.5380551733211,0.022600842442611332,0.7231012136562835,0.08849227656351545,16.84,1,1.0
20260502_151349_328468,SD,500,1.0,1e-10,False,10.01,3.51,15,8.087299818442354,15.74,352.34,0.47640472402617556,0.390586230268433,1.6063001734271967,37.65071155392473,182.35366228485907,0.02915314800594995,0.7025496419747397,0.06860322595665533,22.32,1,1.0
20260502_151349_539289,SD,500,1.0,1e-10,False,10.01,3.51,15,8.087299818442354,15.008,315.912,0.5034398212888695,0.3912913472417929,1.5946932866889507,29.302293097333038,35.39976785629306,0.01502652210364846,0.9089145197351942,0.13309799740782316,13.92,1,1.0
20260502_151349_728596,SD,500,1.0,1e-10,False,10.01,3.51,15,8.087299818442354,15.3,334.916,0.504451409936031,0.13376285401630417,1.6030473882613892,34.19549857720434,77.25397036459815,0.02591670116046258,0.6179376017383809,0.07717031529657467,18.6,1,1.0
20260502_151349_920103,SD,500,1.0,1e-10,False,10.01,3.51,15,8.087299818442354,15.372,331.492,0.4922736099661621,0.12955878628475412,1.5968519393899943,30.916628119408237,38.61934386304592,0.016466383870237356,0.8438259252095721,0.12145957580977802,15.44,1,1.0
20260502_151350_110837,SD,500,1.0,1e-10,False,10.01,3.51,15,8.087299818442354,15.116,321.436,0.4933989650150837,0.37762318359432345,1.6062787338040232,35.947174190308026,156.13201236698646,0.028591012528601124,0.5933560454183611,0.06995205217021583,20.64,1,1.0
