run_id,degree,sum_prob,deg_count
20260503_231327_471564,1,0.0007518501003998731,431
20260503_231327_471564,48,0.008357517785382927,8
20260503_231327_471564,15,0.0065354626968090225,36
20260503_231327_471564,288,0.012958220109243263,1
20260503_231327_471564,82,0.005045492680306014,2
20260503_231327_471564,183,0.013451543648031025,2
20260503_231327_471564,1558,0.06271348135829534,1
20260503_231327_471564,75,0.004309115673267279,2
20260503_231327_471564,1883,0.07468248162031745,1
20260503_231327_471564,27,0.004339977294547449,12
20260503_231327_471564,6,0.009300359838138953,250
20260503_231327_471564,192,0.008822683201899635,1
20260503_231327_471564,32,0.007463964022323248,13
20260503_231327_471564,7,0.00804540576469036,165
20260503_231327_471564,294,0.012861312000555762,1
20260503_231327_471564,39,0.001963196826956507,3
20260503_231327_471564,51,0.0038440072387145507,4
20260503_231327_471564,3,0.006298707344634015,510
20260503_231327_471564,63,0.004624144815779435,3
20260503_231327_471564,26,0.0032952628247901916,9
20260503_231327_471564,50,0.0018649574959247882,2
20260503_231327_471564,300,0.01102554227153719,1
20260503_231327_471564,213,0.0073167769024233,1
20260503_231327_471564,4,0.008598404581188723,439
20260503_231327_471564,233,0.008049514539135785,1
20260503_231327_471564,326,0.013402253296106413,1
20260503_231327_471564,8,0.007966371305065837,130
20260503_231327_471564,76,0.007387141790550743,4
20260503_231327_471564,98,0.005878871888469478,2
20260503_231327_471564,62,0.0011930491306504191,1
20260503_231327_471564,17,0.004815419418648566,22
20260503_231327_471564,22,0.005566406938121761,18
20260503_231327_471564,177,0.006091240911760055,1
20260503_231327_471564,308,0.010709223418618413,1
20260503_231327_471564,768,0.034770828450486777,1
20260503_231327_471564,66,0.004799421615207489,3
20260503_231327_471564,241,0.008519756517852155,1
20260503_231327_471564,23,0.004231804727937884,13
20260503_231327_471564,42,0.002328707293544104,3
20260503_231327_471564,669,0.030637554418530957,1
20260503_231327_471564,142,0.004350765548387695,1
20260503_231327_471564,57,0.0026507810008984164,2
20260503_231327_471564,20,0.0064385998723924765,23
20260503_231327_471564,9,0.0079491082172465,103
20260503_231327_471564,11,0.008245451205176878,80
20260503_231327_471564,125,0.0037119668467309325,1
20260503_231327_471564,404,0.016243819288095627,1
20260503_231327_471564,2,0.003016962507056452,582
20260503_231327_471564,215,0.007755857029993356,1
20260503_231327_471564,174,0.012328803909412309,2
20260503_231327_471564,13,0.008416768206046085,57
20260503_231327_471564,16,0.006138452706839441,31
20260503_231327_471564,491,0.02215844907565082,1
20260503_231327_471564,12,0.00866985060361366,72
20260503_231327_471564,193,0.006265288543297091,1
