run_id,degree,sum_prob,deg_count
20260421_161017_900470,8,0.010276535600337502,290
20260421_161017_900470,221,0.0057571168201880785,1
20260421_161017_900470,97,0.002018136467332495,1
20260421_161017_900470,10,0.00841385787548111,186
20260421_161017_900470,58,0.002700824732637151,4
20260421_161017_900470,50,0.005094552242016459,7
20260421_161017_900470,13,0.009310823583514198,126
20260421_161017_900470,110,0.007126637993268301,3
20260421_161017_900470,36,0.011745656899788607,29
20260421_161017_900470,19,0.004923054487733654,43
20260421_161017_900470,7,0.009626261298585246,365
20260421_161017_900470,94,0.0012179898507096087,1
20260421_161017_900470,4,0.0032387884865088803,282
20260421_161017_900470,211,0.004286926387572846,1
20260421_161017_900470,177,0.0035561490745508718,1
20260421_161017_900470,88,0.00433982578868205,3
20260421_161017_900470,180,0.0033813748002968365,1
20260421_161017_900470,710,0.02796050858585715,1
20260421_161017_900470,59,0.004664459086829417,5
20260421_161017_900470,25,0.0047090163839167715,26
20260421_161017_900470,30,0.003159869762255172,13
20260421_161017_900470,201,0.007600794812645008,2
20260421_161017_900470,17,0.008606282243709533,69
20260421_161017_900470,122,0.0015440238894902907,1
20260421_161017_900470,54,0.004395054061464163,7
20260421_161017_900470,78,0.006807657927879725,7
20260421_161017_900470,44,0.004089143374613637,9
20260421_161017_900470,105,0.0030978660924156523,2
20260421_161017_900470,22,0.006567996561281214,36
20260421_161017_900470,9,0.009072115599195258,229
20260421_161017_900470,5,0.005247052524832769,363
20260421_161017_900470,91,0.006634360449447929,3
20260421_161017_900470,252,0.006627948438565034,1
20260421_161017_900470,33,0.0033272271693177624,13
20260421_161017_900470,27,0.006199640468786252,25
20260421_161017_900470,93,0.003190937731597486,2
20260421_161017_900470,34,0.004897223970532614,15
20260421_161017_900470,20,0.006902989645538535,45
20260421_161017_900470,2,0.0004986184408849607,126
20260421_161017_900470,12,0.008784687551038941,135
20260421_161017_900470,49,0.0029325828702376944,6
20260421_161017_900470,1233,0.06649430525621813,1
20260421_161017_900470,1328,0.07532790230787743,1
20260421_161017_900470,23,0.0057932212589545005,30
20260421_161017_900470,28,0.005276966717680799,22
20260421_161017_900470,142,0.002512078495214533,1
20260421_161017_900470,442,0.01548199158564801,1
20260421_161017_900470,38,0.0077166447015537135,17
20260421_161017_900470,84,0.004760929106486426,3
20260421_161017_900470,327,0.010725278296907033,1
20260421_161017_900470,151,0.003551049438078932,1
20260421_161017_900470,3,0.001102603983404767,205
20260421_161017_900470,230,0.00660699979051942,1
