run_id,degree,sum_prob
20260409_182418_163081,9,0.0027068902344446815
20260409_182418_163081,13,0.029702855993480604
20260409_182418_163081,25,0.040368710576698996
20260409_182418_163081,12,0.01851181976265608
20260409_182418_163081,17,0.07799605879493095
20260409_182418_163081,18,0.06458134735639251
20260409_182418_163081,19,0.06176923411201216
20260409_182418_163081,23,0.05204784720941838
20260409_182418_163081,20,0.09237400915021797
20260409_182418_163081,21,0.06952408338683258
20260409_182418_163081,16,0.034778369900613955
20260409_182418_163081,15,0.034419907019963655
20260409_182418_163081,7,0.0021157551784286546
20260409_182418_163081,14,0.03310339364168992
20260409_182418_163081,27,0.02415462956147535
20260409_182418_163081,11,0.009351923462171275
20260409_182418_163081,26,0.0021446172572142067
20260409_182418_163081,8,0.0014820685390512962
20260409_182418_163081,6,5.792403431054419e-05
20260409_182418_163081,10,0.005543802327606101
20260409_182418_163081,35,0.018872651402134823
20260409_182418_163081,37,0.0031752064049246974
20260409_182418_163081,24,0.05451352024415087
20260409_182418_163081,22,0.07927981929138028
20260409_182418_163081,29,0.002775443649885081
20260409_182418_163081,38,0.00011168619690592585
20260409_182418_163081,28,0.04758476124228776
20260409_182418_163081,30,0.01773112216402048
20260409_182418_163081,40,0.0005554604988777679
20260409_182418_163081,32,0.005309727142644148
20260409_182418_163081,58,0.0038057029095241645
20260409_182418_163081,36,0.0005787888413856824
20260409_182418_163081,31,0.017521839359521715
20260409_182418_163081,50,4.329967434917922e-06
20260409_182418_163081,5,8.269516632112405e-05
20260409_182418_163081,4,6.83775107615904e-05
20260409_182418_163081,34,0.028634219093409352
20260409_182418_163081,48,0.03285893927848534
20260409_182418_163081,43,0.00015270427660877582
20260409_182418_163081,33,0.026287826790445366
20260409_182418_163081,41,7.395878539224314e-05
20260409_182418_163081,53,0.0007833210770107006
20260409_182418_163081,39,0.0001527961191362335
20260409_182418_163081,42,0.0023484482502699744
20260409_182418_163081,3,1.3093318587485195e-06
