run_id,name,N,J,noise,periodic,beta,gamma,mean_degree,HypR,first_moment,second_moment,r_mean,dyson_beta,alpha,Tc,gap0,ipr,dif_radius,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
20260503_231327_471564,SD,3783,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,12.025905366111552,2749.8361089082737,0.47701453630276064,0.29221660541934524,1.604720054239537,130.09835221798716,18822.671025185067,0.01622370140202617,0.5313895693255998,0.01629347483509677,42.17941952506596,1,1.0
20260503_231338_403113,SD,3807,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.865510900971893,2755.0869451011295,0.492179645763641,0.2613845093445572,1.6047027710386703,128.81435862752,20656.842433358877,0.017101826348127545,0.540987096628599,0.015359413444636547,41.70603674540683,1,1.0
20260503_231349_147167,SD,3819,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.906781880073318,2732.649384655669,0.4850081210691412,0.3031603754932889,1.6046912912403404,128.94315903229005,19541.413440063996,0.016433805933160753,0.558000221055423,0.015933536792659624,41.99476439790576,1,1.0
20260503_231359_628712,SD,3764,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.913390010626992,2698.392136025505,0.47856000289817047,0.24230595303529742,1.6047347204045672,129.50444397075287,19682.827206358023,0.0187709351928276,0.5327923301082452,0.014153520391948553,41.54907161803713,1,1.0
20260503_231410_436122,SD,3821,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.912064904475269,2773.2881444647996,0.48077285228279043,0.2543802227561068,1.6047117067389582,131.3181201152823,20203.72486075937,0.015257492673139068,0.5777504277408966,0.017152988333682874,43.00523560209424,1,1.0
20260503_231421_635559,SD,3844,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.712799167533818,2712.3496357960457,0.4834127498769652,0.2332763081987612,1.6046758664769303,128.15051536273967,19755.092403428098,0.016941240945216467,0.5509368185436676,0.015355763041381011,41.345454545454544,1,1.0
20260503_231432_845124,SD,3831,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.760375880971026,2727.2122161315583,0.4891275259070129,0.2843560222986357,1.604689882090818,128.8176454540026,20549.18816459617,0.016989774244116296,0.5561044260944142,0.01536385642038036,41.65013054830287,1,1.0
20260503_231443_661158,SD,3824,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.755753138075313,2690.7374476987447,0.4957511161582612,0.3173545610043126,1.604692209193477,128.58137788911367,19621.14909682009,0.017131170766188444,0.5571413392075643,0.015264938965336738,41.58746736292428,1,1.0
20260503_231454_794900,SD,3819,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.743388321550144,2699.6014663524484,0.49056236278939847,0.20240327799169583,1.6046976918426548,129.18152934976322,19212.16782453856,0.016904507585998357,0.5598457343787745,0.015489871571078978,42.40837696335078,1,1.0
20260503_231505_775457,SD,3797,1.0,1e-10,False,10.01,2.01,10,18.706046718984396,11.836713194627338,2718.344482486173,0.47998420091584615,0.22923310553402843,1.6047050756610752,128.50073615995134,19959.5594712607,0.016685919054625676,0.5474880749089139,0.01578371645307649,41.88421052631579,1,1.0
20260503_231519_164516,SD,3926,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,9.96637799286806,521.8201732042792,0.4748831418073519,0.29580271595710483,1.6028450458930188,64.05731083220458,2989.976790453187,0.025696495843917644,0.7231289996333938,0.009912331112736792,19.307888040712466,1,1.0
20260503_231532_399324,SD,3934,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,9.894763599389934,508.8246059989832,0.46894376276396066,0.2875099794943595,1.602797504683926,62.078439048037545,4005.2853894391965,0.026973849378092607,0.726710570955939,0.009423727433526399,18.35532994923858,1,1.0
20260503_231547_134700,SD,3904,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,9.976946721311476,508.8196721311475,0.4708978552405902,0.2632490174016874,1.6027106897249837,61.68378149529941,3436.3730786786355,0.029852667283826274,0.6784668744626406,0.008580390440434228,18.455242966751918,1,1.0
20260503_231600_319773,SD,3937,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,10.015240030480062,496.07721615443234,0.4646257801371698,0.24962090468128623,1.602883756061842,63.14608394629639,4258.608545213609,0.03323719137117379,0.6182366361345912,0.007642056910419559,17.553299492385786,1,1.0
20260503_231613_649951,SD,3932,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,10.039674465920651,521.1429298067142,0.4719363526769589,0.2721960012660244,1.6031520026103463,66.23407949458306,4682.493854571248,0.03000893134178494,0.6339740818719719,0.008474926900753334,18.619289340101524,1,1.0
20260503_231626_565281,SD,3890,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,10.096143958868895,530.6092544987147,0.46905067087315166,0.24702258966030113,1.6030496452835945,65.58825239631862,4085.467236650396,0.025431770887766974,0.6821019972095973,0.01010819930215767,20.0,1,1.0
20260503_231639_891442,SD,3938,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,10.02133062468258,519.3616048755714,0.4701357477693846,0.23451069438118433,1.6028372117045384,63.256122733012006,3782.8789185850633,0.02941951278863063,0.7014730641603522,0.008631550425406349,19.299492385786802,1,1.0
20260503_231653_092967,SD,3924,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,10.061671763506626,522.3022426095821,0.4719541877216679,0.3034958627970791,1.6030122686246102,64.85748482081546,3828.688453719756,0.029975393663832662,0.6929223678654222,0.008501706460280723,18.83969465648855,1,1.0
20260503_231706_301531,SD,3957,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,9.983320697498105,512.6823351023503,0.46946802612927885,0.2584389235817132,1.6025830357746296,60.717267207342815,3372.9430141031035,0.028786742178602564,0.7420605992678099,0.008778926875651072,18.525252525252526,1,1.0
20260503_231718_963915,SD,3887,1.0,1e-10,False,10.01,2.51,10,15.277861885233502,10.18626189863648,540.561872909699,0.47024946560349556,0.29133223489511295,1.602725268716779,62.68762501530911,3411.3323942488673,0.02662157437809597,0.7526200101918594,0.009663884342164298,19.26992287917738,1,1.0
20260503_231731_573991,SD,3962,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.800605754669359,213.5123674911661,0.41472320587661987,0.04512699253822717,1.5940306725066489,36.42729977267063,262.20880368340215,0.03455235761299161,0.7440359958633509,0.007304791809767699,12.52896725440806,1,1.0
20260503_231744_499743,SD,3992,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.69939879759519,204.42384769539078,0.406976520825833,-0.02425561993862583,1.5978026215321262,39.12973307159747,667.2949777617939,0.036898858101537015,0.6821345715150559,0.006788855127025556,13.08,1,1.0
20260503_231756_703139,SD,3951,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.762085547962542,207.65072133637054,0.4178277755738172,0.007963175015959596,1.5953079013801605,36.4246746139975,504.8700874194064,0.03159179714140175,0.7519528109555046,0.008011588570224767,12.0,1,1.0
20260503_231809_504354,SD,3978,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.751131221719458,207.88084464555052,0.41193155433810935,-0.087525043654179,1.598111411199944,39.11356789380475,1108.9619500922443,0.06015945831410503,0.6334340101076006,0.004178604850649751,11.688442211055277,1,1.0
20260503_231821_900778,SD,3979,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.792912792158834,210.03317416436292,0.4075464240918587,-0.06702290434502209,1.5994130145847296,41.86943716462987,2189.5714149428245,0.05036108245532457,0.6070230511589423,0.004990349983335893,12.517587939698492,1,1.0
20260503_231833_973311,SD,3935,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.778907242693775,207.9186785260483,0.41309230485128334,-0.0323868550087476,1.5973102741421932,37.41989865486282,1653.8093748619538,0.04103133138930268,0.7475828717356687,0.006193550087077237,11.97969543147208,1,1.0
20260503_231846_305760,SD,3945,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.749049429657795,211.64765525982256,0.40763358112271736,-0.021757245490362197,1.5950681032825396,35.92427792475654,511.4411582696101,0.03853482014219838,0.7466382326204491,0.006578087653002992,12.835443037974683,1,1.0
20260503_231858_790897,SD,3954,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.712696004046535,210.84066767830046,0.40739518412184605,0.040296381759938,1.6001426097965687,43.55561623706822,2643.0964694566437,0.0347323729867779,0.6373970010652374,0.007281634549946041,12.878787878787879,1,1.0
20260503_231911_260484,SD,3948,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.839412360688957,212.23758865248226,0.4020445495034915,-0.033102254990601716,1.5957986263338793,37.12739265406412,673.6877219167782,0.032763075038450905,0.7591304086683952,0.007731044970199842,12.875949367088607,1,1.0
20260503_231922_778053,SD,3861,1.0,1e-10,False,10.01,3.01,10,13.908237009940963,9.812483812483812,214.41181041181042,0.41280428160590904,-0.01599590607084196,1.5978975358855743,39.809663324778946,1112.3325219435837,0.03858653078400393,0.6365799880941643,0.006712193445170451,12.844559585492227,1,1.0
20260503_231934_912984,SD,3788,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.538542766631467,174.4741288278775,0.40162702610558976,-0.08235144529330408,1.5907303496951217,31.75411572746005,538.1164050554913,0.023585634996884524,0.8651086422903778,0.011192895688634142,13.134564643799472,1,1.0
20260503_231939_789963,SD,1344,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.955357142857142,188.91369047619048,0.3999790194765275,-0.08500023698690792,1.5955766386602437,31.261334166671897,315.56059140280314,0.02938910318211467,0.8147779149075883,0.025317125685564445,14.562962962962963,1,1.0
20260503_231954_312319,SD,3997,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.370778083562673,166.9091818864148,0.39323231648360824,-0.1401656038263009,1.587820705970693,29.455398434417617,364.80619416947997,0.03252797260014655,0.6513413208222935,0.007691461248015829,10.955,1,1.0
20260503_232000_183180,SD,1994,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.755265797392177,186.22066198595786,0.40279223509711276,-0.10296914168038618,1.5977191895981893,35.18271310676623,926.1227577374532,0.03584704657266418,0.6142463193155075,0.013990120846470328,14.23,1,1.0
20260503_232012_888969,SD,4000,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.4285,173.3605,0.3951524032924119,-0.10177279257317186,1.5935523422507634,34.022917148983424,687.3537094804709,0.032517400629953196,0.700874962313314,0.007688191403888357,13.44,1,1.0
20260503_232024_937047,SD,3783,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.386465767909067,171.58234205656885,0.3965498455920014,-0.11345882407258429,1.5947814262425548,34.13831649237789,1167.9865376709922,0.04547918869817384,0.6073697632361604,0.0058123391839804694,12.87598944591029,1,1.0
20260503_232038_039204,SD,3997,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.509882411808857,175.81786339754817,0.3972972912196703,-0.10871607452697578,1.5939069056774655,34.95733747794912,537.9976360702892,0.030851996756205414,0.7230764462887549,0.008109285201458684,10.76,1,1.0
20260503_232044_564138,SD,2258,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,10.260407440212578,168.8104517271922,0.40041697331369513,-0.08068409371417017,1.5910148861699898,30.604107854788893,268.54559800018455,0.034419339850500844,0.6670683981146507,0.012866888156585298,11.938053097345133,1,1.0
20260503_232050_050708,SD,1810,1.0,1e-10,False,10.01,3.51,10,13.064868262843733,11.083977900552487,194.46187845303868,0.41427550942751673,-0.04130757603830795,1.5968062781394012,34.36352809854271,603.2120585528421,0.03868892105690814,0.674338322777462,0.014280216991128889,15.171270718232044,1,1.0
